year,block,main_plot,fym_factor_level,rotation_type,rotation_factor_level,phase_number,test_or_treatment,crop_name,crop_code,crop_variety,management_note_id,note_id
1938,1,1,FYM,arable,Ah,0,Initialising phase,spring barley,B,Plumage Archer,1.000,24
1939,1,1,FYM,arable,Ah,0,Initialising phase,hay,H,*,4.000,"8, 24"
1940,1,1,FYM,arable,Ah,4,1st test crop,potatoes,P,Majestic,*,*
1941,1,1,FYM,arable,Ah,5,2nd test crop,spring barley,B,Plumage Archer,*,*
1942,1,1,FYM,arable,Ah,1,1st treatment crop,potatoes,P,Majestic,*,*
1943,1,1,FYM,arable,Ah,2,2nd treatment crop,winter wheat,W,Red Standard,*,*
1944,1,1,FYM,arable,Ah,3,3rd treatment crop,hay,H,Italian ryegrass; broad red clover,4.000,*
1945,1,1,FYM,arable,Ah,4,1st test crop,potatoes,P,Majestic,*,*
1946,1,1,FYM,arable,Ah,5,2nd test crop,spring barley,B,Plumage Archer,*,*
1947,1,1,FYM,arable,Ah,1,1st treatment crop,potatoes,P,Majestic,*,*
1948,1,1,FYM,arable,Ah,2,2nd treatment crop,spring wheat,W*,Atle,*,1
1949,1,1,FYM,arable,Ah,3,3rd treatment crop,hay,H,S.24 perennial ryegrass; late-flowering red clover; alsike clover,4.000,*
1950,1,1,FYM,arable,Ah,4,1st test crop,potatoes,P,Majestic,*,*
1951,1,1,FYM,arable,Ah,5,2nd test crop,spring barley,B,Plumage Archer,*,*
1952,1,1,FYM,arable,Ah,1,1st treatment crop,potatoes,P,Majestic,*,*
1953,1,1,FYM,arable,Ah,2,2nd treatment crop,winter rye,R,King II,*,*
1954,1,1,FYM,arable,Ah,3,3rd treatment crop,hay,H,S.24 perennial ryegrass; late-flowering red clover; alsike clover,4.000,*
1955,1,1,FYM,arable,Ah,4,1st test crop,potatoes,P,Majestic,*,*
1956,1,1,FYM,arable,Ah,5,2nd test crop,spring barley,B,Herta,*,*
1957,1,1,FYM,arable,Ah,1,1st treatment crop,potatoes,P,Majestic,*,*
1958,1,1,FYM,arable,Ah,2,2nd treatment crop,winter rye,R,King II,*,*
1959,1,1,FYM,arable,Ah,3,3rd treatment crop,hay,H,S.24 perennial ryegrass; late-flowering red clover; alsike clover,4.000,*
1960,1,1,FYM,arable,Ah,4,1st test crop,sugar beet,SBe,Klein E,*,*
1961,1,1,FYM,arable,Ah,5,2nd test crop,spring barley,B,Herta,*,*
1962,1,1,FYM,arable,Ah,1,1st treatment crop,potatoes,P,Majestic,*,*
1963,1,1,FYM,arable,Ah,2,2nd treatment crop,winter rye,R,King II,*,*
1964,1,1,FYM,arable,Ah,3,3rd treatment crop,hay,H,S.24 perennial ryegrass; late-flowering red clover; alsike clover,4.000,2
1965,1,1,FYM,arable,Ah,4,1st test crop,sugar beet,SBe,Klein E,*,*
1966,1,1,FYM,arable,Ah,5,2nd test crop,spring barley,B,Maris Badger,*,*
1967,1,1,FYM,arable,Ah,1,1st treatment crop,potatoes,P,Maris Piper,*,*
1968,1,1,FYM,arable,Ah,2,2nd treatment crop,winter rye,R,King II,*,*
1969,1,1,FYM,arable,Ah,3,3rd treatment crop,hay,H,S.24 perennial ryegrass; late-flowering red clover; alsike clover,4.000,*
1970,1,1,FYM,arable,Ah,4,1st test crop,spring barley,B,Maris Badger,*,*
1971,1,1,FYM,arable,Ah,5,2nd test crop,spring barley,B,Julia,*,*
1972,1,1,FYM,arable,Ah,1,1st treatment crop,potatoes,P,Maris Piper,*,*
1973,1,1,FYM,arable,Ah,2,2nd treatment crop,spring barley,B,Julia,*,*
1974,1,1,FYM,arable,Ah,3,3rd treatment crop,hay,H,S.24 perennial ryegrass; late-flowering red clover; alsike clover,4.000,*
1975,1,1,FYM,arable,Ah,4,1st test crop,potatoes,P,Maris Piper,*,*
1976,1,1,FYM,arable,Ah,5,2nd test crop,winter wheat,W,Cappelle,*,*
1977,1,1,FYM,arable,AB,1,1st treatment crop,spring barley,B,Julia,*,*
1978,1,1,FYM,arable,AB,2,2nd treatment crop,spring barley,B,Porthos,*,*
1979,1,1,FYM,arable,AB,3,3rd treatment crop,spring oats,O*,Manod,*,3
1980,1,1,FYM,arable,AB,4,1st test crop,winter wheat,W,Flanders,*,*
1981,1,1,FYM,arable,AB,5,2nd test crop,spring barley,B,Triumph,*,*
1982,1,1,FYM,arable,AB,1,1st treatment crop,spring barley,B,Triumph,*,*
1983,1,1,FYM,arable,AB,2,2nd treatment crop,spring barley,B,Triumph,*,*
1984,1,1,FYM,arable,AB,3,3rd treatment crop,spring beans,BE*,Minden,*,4
1985,1,1,FYM,arable,AB,4,1st test crop,winter wheat,W,Avalon,*,*
1986,1,1,FYM,arable,AB,5,2nd test crop,spring barley,B,Klaxon,*,*
1987,1,1,FYM,arable,AB,1,1st treatment crop,spring barley,B,Klaxon,*,*
1988,1,1,FYM,arable,AB,2,2nd treatment crop,spring barley,B,Klaxon,*,*
1989,1,1,FYM,arable,AB,3,3rd treatment crop,winter beans,BE,Bourdon,*,*
1990,1,1,FYM,arable,AB,4,1st test crop,winter wheat,W,Mercia,*,*
1991,1,1,FYM,arable,AB,5,2nd test crop,spring barley,B,Klaxon,*,*
1992,1,1,FYM,arable,AB,1,1st treatment crop,spring barley,B,Alexis,*,*
1993,1,1,FYM,arable,AB,2,2nd treatment crop,spring barley,B,Alexis,*,*
1994,1,1,FYM,arable,AB,3,3rd treatment crop,winter beans,BE,Punch,*,*
1995,1,1,FYM,arable,AB,4,1st test crop,winter wheat,W,Mercia,*,*
1996,1,1,FYM,arable,AB,5,2nd test crop,winter rye,R,Amando,*,*
1997,1,1,FYM,arable,AB,1,1st treatment crop,spring barley,B,Cooper,*,*
1998,1,1,FYM,arable,AB,2,2nd treatment crop,spring barley,B,Cooper,*,*
1999,1,1,FYM,arable,AB,3,3rd treatment crop,winter beans,BE,Punch,*,*
2000,1,1,FYM,arable,AB,4,1st test crop,winter wheat,W,Hereward,*,*
2001,1,1,FYM,arable,AB,5,2nd test crop,winter rye,R,Esprit:Nikita,*,*
2002,1,1,FYM,arable,ABe,1,1st treatment crop,winter rye,R,Picasso:Nikita,*,*
2003,1,1,FYM,arable,ABe,2,2nd treatment crop,forage maize,M,Hudson,*,*
2004,1,1,FYM,arable,ABe,3,3rd treatment crop,winter beans,BE,Clipper,*,*
2005,1,1,FYM,arable,ABe,4,1st test crop,winter wheat,W,Hereward,*,*
2006,1,1,FYM,arable,ABe,5,2nd test crop,winter rye,R,Matador,*,*
2007,1,1,FYM,arable,ABe,1,1st treatment crop,winter rye,R,Hacada,*,*
2008,1,1,FYM,arable,ABe,2,2nd treatment crop,forage maize,M,Hudson,*,*
2009,1,1,FYM,arable,ABe,3,3rd treatment crop,winter beans,BE,Wizard,*,*
2010,1,1,FYM,arable,ABe,4,1st test crop,winter wheat,W,Glasgow,*,*
2011,1,1,FYM,arable,ABe,5,2nd test crop,winter rye,R,Agronom,*,*
2012,1,1,FYM,arable,ABe,1,1st treatment crop,winter rye,R,Humbolt,*,*
2013,1,1,FYM,arable,ABe,2,2nd treatment crop,spring oats,O*,Circle,*,5
2014,1,1,FYM,arable,ABe,3,3rd treatment crop,winter beans,BE,Wizard,*,*
2015,1,1,FYM,arable,ABe,4,1st test crop,winter wheat,W,Solstice,*,*
2016,1,1,FYM,arable,ABe,5,2nd test crop,winter rye,R,Phoenix,*,*
2017,1,1,FYM,arable,ABe,1,1st treatment crop,winter rye,R,Mephisto,*,*
2018,1,1,FYM,arable,ABe,2,2nd treatment crop,winter oats,O,Mascani,*,*
2019,1,1,FYM,arable,ABe,3,3rd treatment crop,winter beans,BE,Tundra,*,*
2020,1,1,FYM,arable,ABe,4,1st test crop,winter wheat,W,Crusoe,*,*
1938,1,2,none,arable,Ah,0,Initialising phase,spring barley,B,Plumage Archer,*,24
1939,1,2,none,arable,Ah,0,Initialising phase,hay,H,*,4.000,"8, 24"
1940,1,2,none,arable,Ah,4,1st test crop,potatoes,P,Majestic,*,*
1941,1,2,none,arable,Ah,5,2nd test crop,spring barley,B,Plumage Archer,*,*
1942,1,2,none,arable,Ah,1,1st treatment crop,potatoes,P,Majestic,*,*
1943,1,2,none,arable,Ah,2,2nd treatment crop,winter wheat,W,Red Standard,*,*
1944,1,2,none,arable,Ah,3,3rd treatment crop,hay,H,Italian ryegrass; broad red clover,4.000,*
1945,1,2,none,arable,Ah,4,1st test crop,potatoes,P,Majestic,*,*
1946,1,2,none,arable,Ah,5,2nd test crop,spring barley,B,Plumage Archer,*,*
1947,1,2,none,arable,Ah,1,1st treatment crop,potatoes,P,Majestic,*,*
1948,1,2,none,arable,Ah,2,2nd treatment crop,spring wheat,W*,Atle,*,1
1949,1,2,none,arable,Ah,3,3rd treatment crop,hay,H,S.24 perennial ryegrass; late-flowering red clover; alsike clover,4.000,*
1950,1,2,none,arable,Ah,4,1st test crop,potatoes,P,Majestic,*,*
1951,1,2,none,arable,Ah,5,2nd test crop,spring barley,B,Plumage Archer,*,*
1952,1,2,none,arable,Ah,1,1st treatment crop,potatoes,P,Majestic,*,*
1953,1,2,none,arable,Ah,2,2nd treatment crop,winter rye,R,King II,*,*
1954,1,2,none,arable,Ah,3,3rd treatment crop,hay,H,S.24 perennial ryegrass; late-flowering red clover; alsike clover,4.000,*
1955,1,2,none,arable,Ah,4,1st test crop,potatoes,P,Majestic,*,*
1956,1,2,none,arable,Ah,5,2nd test crop,spring barley,B,Herta,*,*
1957,1,2,none,arable,Ah,1,1st treatment crop,potatoes,P,Majestic,*,*
1958,1,2,none,arable,Ah,2,2nd treatment crop,winter rye,R,King II,*,*
1959,1,2,none,arable,Ah,3,3rd treatment crop,hay,H,S.24 perennial ryegrass; late-flowering red clover; alsike clover,4.000,*
1960,1,2,none,arable,Ah,4,1st test crop,sugar beet,SBe,Klein E,*,*
1961,1,2,none,arable,Ah,5,2nd test crop,spring barley,B,Herta,*,*
1962,1,2,none,arable,Ah,1,1st treatment crop,potatoes,P,Majestic,*,*
1963,1,2,none,arable,Ah,2,2nd treatment crop,winter rye,R,King II,*,*
1964,1,2,none,arable,Ah,3,3rd treatment crop,hay,H,S.24 perennial ryegrass; late-flowering red clover; alsike clover,4.000,2
1965,1,2,none,arable,Ah,4,1st test crop,sugar beet,SBe,Klein E,*,*
1966,1,2,none,arable,Ah,5,2nd test crop,spring barley,B,Maris Badger,*,*
1967,1,2,none,arable,Ah,1,1st treatment crop,potatoes,P,Maris Piper,*,*
1968,1,2,none,arable,Ah,2,2nd treatment crop,winter rye,R,King II,*,*
1969,1,2,none,arable,Ah,3,3rd treatment crop,hay,H,S.24 perennial ryegrass; late-flowering red clover; alsike clover,4.000,*
1970,1,2,none,arable,Ah,4,1st test crop,spring barley,B,Maris Badger,*,*
1971,1,2,none,arable,Ah,5,2nd test crop,spring barley,B,Julia,*,*
1972,1,2,none,arable,Ah,1,1st treatment crop,potatoes,P,Maris Piper,*,*
1973,1,2,none,arable,Ah,2,2nd treatment crop,spring barley,B,Julia,*,*
1974,1,2,none,arable,Ah,3,3rd treatment crop,hay,H,S.24 perennial ryegrass; late-flowering red clover; alsike clover,4.000,*
1975,1,2,none,arable,Ah,4,1st test crop,potatoes,P,Maris Piper,*,*
1976,1,2,none,arable,Ah,5,2nd test crop,winter wheat,W,Cappelle,*,*
1977,1,2,none,arable,AB,1,1st treatment crop,spring barley,B,Julia,*,*
1978,1,2,none,arable,AB,2,2nd treatment crop,spring barley,B,Porthos,*,*
1979,1,2,none,arable,AB,3,3rd treatment crop,spring oats,O*,Manod,*,3
1980,1,2,none,arable,AB,4,1st test crop,winter wheat,W,Flanders,*,*
1981,1,2,none,arable,AB,5,2nd test crop,spring barley,B,Triumph,*,*
1982,1,2,none,arable,AB,1,1st treatment crop,spring barley,B,Triumph,*,*
1983,1,2,none,arable,AB,2,2nd treatment crop,spring barley,B,Triumph,*,*
1984,1,2,none,arable,AB,3,3rd treatment crop,spring beans,BE*,Minden,*,4
1985,1,2,none,arable,AB,4,1st test crop,winter wheat,W,Avalon,*,*
1986,1,2,none,arable,AB,5,2nd test crop,spring barley,B,Klaxon,*,*
1987,1,2,none,arable,AB,1,1st treatment crop,spring barley,B,Klaxon,*,*
1988,1,2,none,arable,AB,2,2nd treatment crop,spring barley,B,Klaxon,*,*
1989,1,2,none,arable,AB,3,3rd treatment crop,winter beans,BE,Bourdon,*,*
1990,1,2,none,arable,AB,4,1st test crop,winter wheat,W,Mercia,*,*
1991,1,2,none,arable,AB,5,2nd test crop,spring barley,B,Klaxon,*,*
1992,1,2,none,arable,AB,1,1st treatment crop,spring barley,B,Alexis,*,*
1993,1,2,none,arable,AB,2,2nd treatment crop,spring barley,B,Alexis,*,*
1994,1,2,none,arable,AB,3,3rd treatment crop,winter beans,BE,Punch,*,*
1995,1,2,none,arable,AB,4,1st test crop,winter wheat,W,Mercia,*,*
1996,1,2,none,arable,AB,5,2nd test crop,winter rye,R,Amando,*,*
1997,1,2,none,arable,AB,1,1st treatment crop,spring barley,B,Cooper,*,*
1998,1,2,none,arable,AB,2,2nd treatment crop,spring barley,B,Cooper,*,*
1999,1,2,none,arable,AB,3,3rd treatment crop,winter beans,BE,Punch,*,*
2000,1,2,none,arable,AB,4,1st test crop,winter wheat,W,Hereward,*,*
2001,1,2,none,arable,AB,5,2nd test crop,winter rye,R,Esprit:Nikita,*,*
2002,1,2,none,arable,ABe,1,1st treatment crop,winter rye,R,Picasso:Nikita,*,*
2003,1,2,none,arable,ABe,2,2nd treatment crop,forage maize,M,Hudson,*,*
2004,1,2,none,arable,ABe,3,3rd treatment crop,winter beans,BE,Clipper,*,*
2005,1,2,none,arable,ABe,4,1st test crop,winter wheat,W,Hereward,*,*
2006,1,2,none,arable,ABe,5,2nd test crop,winter rye,R,Matador,*,*
2007,1,2,none,arable,ABe,1,1st treatment crop,winter rye,R,Hacada,*,*
2008,1,2,none,arable,ABe,2,2nd treatment crop,forage maize,M,Hudson,*,*
2009,1,2,none,arable,ABe,3,3rd treatment crop,winter beans,BE,Wizard,*,*
2010,1,2,none,arable,ABe,4,1st test crop,winter wheat,W,Glasgow,*,*
2011,1,2,none,arable,ABe,5,2nd test crop,winter rye,R,Agronom,*,*
2012,1,2,none,arable,ABe,1,1st treatment crop,winter rye,R,Humbolt,*,*
2013,1,2,none,arable,ABe,2,2nd treatment crop,spring oats,O*,Circle,*,5
2014,1,2,none,arable,ABe,3,3rd treatment crop,winter beans,BE,Wizard,*,*
2015,1,2,none,arable,ABe,4,1st test crop,winter wheat,W,Solstice,*,*
2016,1,2,none,arable,ABe,5,2nd test crop,winter rye,R,Phoenix,*,*
2017,1,2,none,arable,ABe,1,1st treatment crop,winter rye,R,Mephisto,*,*
2018,1,2,none,arable,ABe,2,2nd treatment crop,winter oats,O,Mascani,*,*
2019,1,2,none,arable,ABe,3,3rd treatment crop,winter beans,BE,Tundra,*,*
2020,1,2,none,arable,ABe,4,1st test crop,winter wheat,W,Crusoe,*,*
1938,1,3,none,3-yr lucerne ley-arable,Lu,0,Initialising phase,spring barley,B,Plumage Archer,2.000,24
1939,1,3,none,3-yr lucerne ley-arable,Lu,0,Initialising phase,kale,K,Thousand Head,2.000,24
1940,1,3,none,3-yr lucerne ley-arable,Lu,4,1st test crop,potatoes,P,Majestic,3.000,*
1941,1,3,none,3-yr lucerne ley-arable,Lu,5,2nd test crop,spring barley,B,Plumage Archer,3.000,*
1942,1,3,none,3-yr lucerne ley-arable,Lu,1,1st year ley treatment,lucerne,Lu1,Provence,3.000,*
1943,1,3,none,3-yr lucerne ley-arable,Lu,2,2nd year ley treatment,lucerne,Lu2,Provence,3.000,*
1944,1,3,none,3-yr lucerne ley-arable,Lu,3,3rd year ley treatment,lucerne,Lu3,Provence,3.000,*
1945,1,3,none,3-yr lucerne ley-arable,Lu,4,1st test crop,potatoes,P,Majestic,3.000,*
1946,1,3,none,3-yr lucerne ley-arable,Lu,5,2nd test crop,spring barley,B,Plumage Archer,3.000,*
1947,1,3,none,3-yr lucerne ley-arable,Lu,1,1st year ley treatment,lucerne,Lu1,Provence,3.000,*
1948,1,3,none,3-yr lucerne ley-arable,Lu,2,2nd year ley treatment,lucerne,Lu2,Provence,3.000,*
1949,1,3,none,3-yr lucerne ley-arable,Lu,3,3rd year ley treatment,lucerne,Lu3,Provence,3.000,*
1950,1,3,none,3-yr lucerne ley-arable,Lu,4,1st test crop,potatoes,P,Majestic,3.000,*
1951,1,3,none,3-yr lucerne ley-arable,Lu,5,2nd test crop,spring barley,B,Plumage Archer,3.000,*
1952,1,3,none,3-yr lucerne ley-arable,Lu,1,1st year ley treatment,lucerne,Lu1,Du Puits,3.000,*
1953,1,3,none,3-yr lucerne ley-arable,Lu,2,2nd year ley treatment,lucerne,Lu2,Du Puits,3.000,*
1954,1,3,none,3-yr lucerne ley-arable,Lu,3,3rd year ley treatment,lucerne,Lu3,Du Puits,3.000,*
1955,1,3,none,3-yr lucerne ley-arable,Lu,4,1st test crop,potatoes,P,Majestic,3.000,*
1956,1,3,none,3-yr lucerne ley-arable,Lu,5,2nd test crop,spring barley,B,Herta,3.000,*
1957,1,3,none,3-yr lucerne ley-arable,Lu,1,1st year ley treatment,lucerne,Lu1,Du Puits,3.000,*
1958,1,3,none,3-yr lucerne ley-arable,Lu,2,2nd year ley treatment,lucerne,Lu2,Du Puits,3.000,*
1959,1,3,none,3-yr lucerne ley-arable,Lu,3,3rd treatment crop,fallow,F,*,3.000,*
1960,1,3,none,3-yr lucerne ley-arable,Lu,4,1st test crop,sugar beet,SBe,Klein E,3.000,*
1961,1,3,none,3-yr lucerne ley-arable,Lu,5,2nd test crop,spring barley,B,Herta,3.000,*
1962,1,3,none,3-yr lucerne ley-arable,Lu,1,1st year ley treatment,lucerne,Lu1,Du Puits,3.000,*
1963,1,3,none,3-yr lucerne ley-arable,Lu,2,2nd year ley treatment,lucerne,Lu2,Du Puits,3.000,*
1964,1,3,none,3-yr lucerne ley-arable,Lu,3,3rd year ley treatment,lucerne,Lu3,Du Puits,3.000,*
1965,1,3,none,3-yr lucerne ley-arable,Lu,4,1st test crop,sugar beet,SBe,Klein E,3.000,*
1966,1,3,none,3-yr lucerne ley-arable,Lu,5,2nd test crop,spring barley,B,Maris Badger,3.000,*
1967,1,3,none,3-yr lucerne ley-arable,Lu,1,1st year ley treatment,sainfoin,S1,Common Sainfoin,3.000,*
1968,1,3,none,3-yr lucerne ley-arable,Lu,2,2nd year ley treatment,sainfoin,S2,Common Sainfoin,3.000,*
1969,1,3,none,3-yr lucerne ley-arable,Lu,3,3rd year ley treatment,sainfoin,S3,Common Sainfoin,3.000,*
1970,1,3,none,3-yr lucerne ley-arable,Lu,4,1st test crop,spring barley,B,Maris Badger,3.000,*
1971,1,3,none,3-yr lucerne ley-arable,Lu,5,2nd test crop,spring barley,B,Julia,3.000,*
1972,1,3,none,3-yr lucerne ley-arable,Lu,1,1st year ley treatment,red clover  ,CL1,S.123,3.000,*
1973,1,3,none,3-yr lucerne ley-arable,Lu,2,2nd year ley treatment,red clover  ,CL2,S.123,3.000,*
1974,1,3,none,3-yr lucerne ley-arable,Lu,3,3rd year ley treatment,red clover  ,CL3,English Broad Red,2.000,10
1975,1,3,none,3-yr lucerne ley-arable,Lu,4,1st test crop,potatoes,P,Maris Piper,3.000,*
1976,1,3,none,3-yr lucerne ley-arable,Lu,5,2nd test crop,winter wheat,W,Cappelle,3.000,*
1977,1,3,none,3-yr grass/clover ley-arable,Lc3,1,1st year ley treatment,clover grass ley,Lc1,S.48 timothy; S.215 meadow fescue; Huia white clover; ,4.000,12
1978,1,3,none,3-yr grass/clover ley-arable,Lc3,2,2nd year ley treatment,clover grass ley,Lc2,S.48 timothy; S.215 meadow fescue; Huia white clover; ,5.000,*
1979,1,3,none,3-yr grass/clover ley-arable,Lc3,3,3rd year ley treatment,clover grass ley,Lc3,S.48 timothy; S.215 meadow fescue; Huia white clover; ,5.000,*
1980,1,3,none,3-yr grass/clover ley-arable,Lc3,4,1st test crop,winter wheat,W,Flanders,*,*
1981,1,3,none,3-yr grass/clover ley-arable,Lc3,5,2nd test crop,spring barley,B,Triumph,*,*
1982,1,3,none,3-yr grass/clover ley-arable,Lc3,1,1st year ley treatment,clover grass ley,Lc1,Climax timothy; meadow fescue; Huia white clover,5.000,*
1983,1,3,none,3-yr grass/clover ley-arable,Lc3,2,2nd year ley treatment,clover grass ley,Lc2,Climax timothy; meadow fescue; Huia white clover,5.000,*
1984,1,3,none,3-yr grass/clover ley-arable,Lc3,3,3rd year ley treatment,clover grass ley,Lc3,Climax timothy; meadow fescue; Huia white clover,5.000,*
1985,1,3,none,3-yr grass/clover ley-arable,Lc3,4,1st test crop,winter wheat,W,Avalon,*,*
1986,1,3,none,3-yr grass/clover ley-arable,Lc3,5,2nd test crop,spring barley,B,Klaxon,*,*
1987,1,3,none,3-yr grass/clover ley-arable,Lc3,1,1st year ley treatment,clover grass ley,Lc1,Climax timothy; meadow fescue; Huia white clover,5.000,*
1988,1,3,none,3-yr grass/clover ley-arable,Lc3,2,2nd year ley treatment,clover grass ley,Lc2,Climax timothy; meadow fescue; Huia white clover,5.000,*
1989,1,3,none,3-yr grass/clover ley-arable,Lc3,3,3rd year ley treatment,clover grass ley,Lc3,Climax timothy; meadow fescue; Huia white clover,5.000,*
1990,1,3,none,3-yr grass/clover ley-arable,Lc3,4,1st test crop,winter wheat,W,Mercia,*,*
1991,1,3,none,3-yr grass/clover ley-arable,Lc3,5,2nd test crop,spring barley,B,Klaxon,*,*
1992,1,3,none,3-yr grass/clover ley-arable,Lc3,1,1st year ley treatment,clover grass ley,Lc1,Climax timothy; meadow fescue; Huia white clover,5.000,*
1993,1,3,none,3-yr grass/clover ley-arable,Lc3,2,2nd year ley treatment,clover grass ley,Lc2,Climax timothy;meadow fescue;Huia white clover,5.000,*
1994,1,3,none,3-yr grass/clover ley-arable,Lc3,3,3rd year ley treatment,clover grass ley,Lc3,Climax timothy;meadow fescue;Huia white clover,5.000,*
1995,1,3,none,3-yr grass/clover ley-arable,Lc3,4,1st test crop,winter wheat,W,Mercia,*,*
1996,1,3,none,3-yr grass/clover ley-arable,Lc3,5,2nd test crop,winter rye,R,Amando,*,*
1997,1,3,none,3-yr grass/clover ley-arable,Lc3,1,1st year ley treatment,clover grass ley,Lc1,Erecta RvP timothy; Rossa meadow fescue; Huia white clover,5.000,*
1998,1,3,none,3-yr grass/clover ley-arable,Lc3,2,2nd year ley treatment,clover grass ley,Lc2,Erecta RvP timothy; Rossa meadow fescue; Huia white clover,5.000,*
1999,1,3,none,3-yr grass/clover ley-arable,Lc3,3,3rd year ley treatment,clover grass ley,Lc3,Erecta RvP timothy; Rossa meadow fescue; Huia white clover,5.000,*
2000,1,3,none,3-yr grass/clover ley-arable,Lc3,4,1st test crop,winter wheat,W,Hereward,*,*
2001,1,3,none,3-yr grass/clover ley-arable,Lc3,5,2nd test crop,winter rye,R,Esprit:Nikita,*,*
2002,1,3,none,3-yr grass/clover ley-arable,Lc3,1,1st year ley treatment,clover grass ley,Lc1,Promesse timothy; Laura meadow fescue; Merwi white clover,5.000,*
2003,1,3,none,3-yr grass/clover ley-arable,Lc3,2,2nd year ley treatment,clover grass ley,Lc2,Promesse timothy; Laura meadow fescue; Merwi white clover,5.000,*
2004,1,3,none,3-yr grass/clover ley-arable,Lc3,3,3rd year ley treatment,clover grass ley,Lc3,Promesse timothy; Laura meadow fescue; Merwi white clover,5.000,*
2005,1,3,none,3-yr grass/clover ley-arable,Lc3,4,1st test crop,winter wheat,W,Hereward,*,*
2006,1,3,none,3-yr grass/clover ley-arable,Lc3,5,2nd test crop,winter rye,R,Matador,*,*
2007,1,3,none,3-yr grass/clover ley-arable,Lc3,1,1st year ley treatment,clover grass ley,Lc1,Promesse timothy; Laura fescue; Chieftain white clover,4.000,21
2008,1,3,none,3-yr grass/clover ley-arable,Lc3,2,2nd year ley treatment,clover grass ley,Lc2,Promesse timothy; Laura fescue; Chieftain white clover,5.000,*
2009,1,3,none,3-yr grass/clover ley-arable,Lc3,3,3rd year ley treatment,clover grass ley,Lc3,Promesse timothy; Laura fescue; Chieftain white clover,5.000,*
2010,1,3,none,3-yr grass/clover ley-arable,Lc3,4,1st test crop,winter wheat,W,Glasgow,*,*
2011,1,3,none,3-yr grass/clover ley-arable,Lc3,5,2nd test crop,winter rye,R,Agronom,*,*
2012,1,3,none,3-yr grass/clover ley-arable,Lc3,1,1st year ley treatment,clover grass ley,Lc1,Promesse timothy; Laura fescue; Chieftain white clover,5.000,*
2013,1,3,none,3-yr grass/clover ley-arable,Lc3,2,2nd year ley treatment,clover grass ley,Lc2,Promesse timothy; Laura fescue; Chieftain white clover,5.000,*
2014,1,3,none,3-yr grass/clover ley-arable,Lc3,3,3rd year ley treatment,clover grass ley,Lc3,Promesse timothy; Laura fescue; Chieftain white clover,5.000,*
2015,1,3,none,3-yr grass/clover ley-arable,Lc3,4,1st test crop,winter wheat,W,Solstice,*,*
2016,1,3,none,3-yr grass/clover ley-arable,Lc3,5,2nd test crop,winter rye,R,Phoenix,*,*
2017,1,3,none,3-yr grass/clover ley-arable,Lc3,1,1st year ley treatment,clover grass ley,Lc1,Promesse timothy; Laura fescue; Chieftain white clover,5.000,*
2018,1,3,none,3-yr grass/clover ley-arable,Lc3,2,2nd year ley treatment,clover grass ley,Lc2,Promesse timothy; Laura fescue; Chieftain white clover,5.000,*
2019,1,3,none,3-yr grass/clover ley-arable,Lc3,3,3rd year ley treatment,clover grass ley,Lc3,Promesse timothy; Laura fescue; Chieftain white clover,5.000,*
2020,1,3,none,3-yr grass/clover ley-arable,Lc3,4,1st test crop,winter wheat,W,Crusoe,*,*
1938,1,4,FYM,3-yr lucerne ley-arable,Lu,0,Initialising phase,spring barley,B,Plumage Archer,2.000,24
1939,1,4,FYM,3-yr lucerne ley-arable,Lu,0,Initialising phase,kale,K,Thousand Head,2.000,24
1940,1,4,FYM,3-yr lucerne ley-arable,Lu,4,1st test crop,potatoes,P,Majestic,3.000,*
1941,1,4,FYM,3-yr lucerne ley-arable,Lu,5,2nd test crop,spring barley,B,Plumage Archer,3.000,*
1942,1,4,FYM,3-yr lucerne ley-arable,Lu,1,1st year ley treatment,lucerne,Lu1,Provence,3.000,*
1943,1,4,FYM,3-yr lucerne ley-arable,Lu,2,2nd year ley treatment,lucerne,Lu2,Provence,3.000,*
1944,1,4,FYM,3-yr lucerne ley-arable,Lu,3,3rd year ley treatment,lucerne,Lu3,Provence,3.000,*
1945,1,4,FYM,3-yr lucerne ley-arable,Lu,4,1st test crop,potatoes,P,Majestic,3.000,*
1946,1,4,FYM,3-yr lucerne ley-arable,Lu,5,2nd test crop,spring barley,B,Plumage Archer,3.000,*
1947,1,4,FYM,3-yr lucerne ley-arable,Lu,1,1st year ley treatment,lucerne,Lu1,Provence,3.000,*
1948,1,4,FYM,3-yr lucerne ley-arable,Lu,2,2nd year ley treatment,lucerne,Lu2,Provence,3.000,*
1949,1,4,FYM,3-yr lucerne ley-arable,Lu,3,3rd year ley treatment,lucerne,Lu3,Provence,3.000,*
1950,1,4,FYM,3-yr lucerne ley-arable,Lu,4,1st test crop,potatoes,P,Majestic,3.000,*
1951,1,4,FYM,3-yr lucerne ley-arable,Lu,5,2nd test crop,spring barley,B,Plumage Archer,3.000,*
1952,1,4,FYM,3-yr lucerne ley-arable,Lu,1,1st year ley treatment,lucerne,Lu1,Du Puits,3.000,*
1953,1,4,FYM,3-yr lucerne ley-arable,Lu,2,2nd year ley treatment,lucerne,Lu2,Du Puits,3.000,*
1954,1,4,FYM,3-yr lucerne ley-arable,Lu,3,3rd year ley treatment,lucerne,Lu3,Du Puits,3.000,*
1955,1,4,FYM,3-yr lucerne ley-arable,Lu,4,1st test crop,potatoes,P,Majestic,3.000,*
